;Assemblage;m;Method;qD;qD.LCL;qD.UCL;SC;SC.LCL;SC.UCL
1;Akumbu12;1;Rarefaction;1;1;1;0,2872;0,2608;0,3136
2;Akumbu12;73;Rarefaction;4,5486;3,8681;5,2292;0,9924;0,9855;0,9994
3;Akumbu12;133;Observed;5;4,0621;5,9379;1;1;1
4;Akumbu12;134;Extrapolation;5;4,0621;5,9379;1;1;1
6;Ambere-Dougon;1;Rarefaction;1;1;1;0,3996;0,2933;0,506
7;Ambere-Dougon;18;Rarefaction;3,4621;2,7159;4,2082;0,953;0,9199;0,9861
8;Ambere-Dougon;33;Observed;4;3,0172;4,9828;1;0,974;1
9;Ambere-Dougon;34;Extrapolation;4;3,0059;4,9941;1;0,9756;1
10;Ambere-Dougon;50;Extrapolation;4;2,8672;5,1328;1;0,9907;1
11;Damassogou;1;Rarefaction;1;1;1;0,3332;0,2875;0,3789
12;Damassogou;99;Rarefaction;5,8743;5,2277;6,521;0,9948;0,9901;0,9995
13;Damassogou;179;Observed;6;5,406;6,594;1;1;1
14;Damassogou;180;Extrapolation;6;5,406;6,594;1;1;1
16;Doupwil;1;Rarefaction;1;1;1;0,1872;0,1126;0,2617
17;Doupwil;18;Rarefaction;5,8263;4,5123;7,1404;0,9082;0,8509;0,9655
18;Doupwil;34;Observed;7;5,1055;8,8945;0,9429;0,8809;1
19;Doupwil;35;Extrapolation;7,0571;5,1177;8,9965;0,9446;0,8845;1
20;Doupwil;52;Extrapolation;7,807;5,2262;10,3877;0,9666;0,9294;1
21;Essouk;1;Rarefaction;1;1;1;0,3531;0,3135;0,3927
22;Essouk;201;Rarefaction;7,7939;7,1702;8,4175;0,9973;0,995;0,9995
23;Essouk;363;Observed;8;7,313;8,687;1;0,9992;1
24;Essouk;364;Extrapolation;8;7,313;8,687;1;0,9992;1
25;Essouk;554;Extrapolation;8;7,302;8,698;1;0,9997;1
26;Galia;1;Rarefaction;1;1;1;0,2019;0,1646;0,2392
27;Galia;72;Rarefaction;8,5611;7,7829;9,3393;0,9831;0,9728;0,9933
28;Galia;130;Observed;9;8,0927;9,9073;1;0,9886;1
29;Galia;131;Extrapolation;9;8,0886;9,9114;1;0,9888;1
30;Galia;198;Extrapolation;9;7,7996;10,2004;1;0,9945;1
31;Gao12;1;Rarefaction;1;1;1;0,291;0,2753;0,3067
32;Gao12;580;Rarefaction;6,9828;6,8064;7,1591;0,9998;0,9993;1
33;Gao12;1045;Observed;7;7;7;1;1;1
34;Gao12;1046;Extrapolation;7;7;7;1;1;1
36;Jenne-jeno12;1;Rarefaction;1;1;1;0,2596;0,2114;0,3078
37;Jenne-jeno12;98;Rarefaction;10,0126;8,5812;11,4439;0,9784;0,9679;0,9888
38;Jenne-jeno12;178;Observed;11;9,2577;12,7423;0,9945;0,9818;1
39;Jenne-jeno12;179;Extrapolation;11,0055;9,2584;12,7526;0,9946;0,9819;1
40;Jenne-jeno12;272;Extrapolation;11,2182;8,9352;13,5012;0,9993;0,9898;1
41;Kokolo;1;Rarefaction;1;1;1;0,7049;0,6122;0,7976
42;Kokolo;66;Rarefaction;3,7669;3,1144;4,4193;0,9898;0,9818;0,9979
43;Kokolo;119;Observed;4;3,3566;4,6434;1;0,9938;1
44;Kokolo;120;Extrapolation;4;3,3559;4,6441;1;0,9939;1
45;Kokolo;182;Extrapolation;4;3,2856;4,7144;1;0,9978;1
46;Mara12;1;Rarefaction;1;1;1;0,2438;0,2274;0,2603
47;Mara12;170;Rarefaction;6,8074;6,316;7,2989;0,9955;0,992;0,9991
48;Mara12;307;Observed;7;6,612;7,388;1;0,9973;1
49;Mara12;308;Extrapolation;7;6,6118;7,3882;1;0,9973;1
50;Mara12;469;Extrapolation;7;6,5156;7,4844;1;0,9991;1
51;Ounjougou12;1;Rarefaction;1;1;1;0,419;0,302;0,536
52;Ounjougou12;12;Rarefaction;3,0431;2,364;3,7222;0,9128;0,8713;0,9543
53;Ounjougou12;23;Observed;4;3,1146;4,8854;0,9203;0,9048;0,9358
54;Ounjougou12;24;Extrapolation;4,0797;3,1871;4,9723;0,9269;0,9128;0,9411
55;Ounjougou12;35;Extrapolation;4,6198;3,6735;5,5662;0,9719;0,9665;0,9774
56;Sadia12;1;Rarefaction;1;1;1;0,3861;0,375;0,3973
57;Sadia12;1853;Rarefaction;5;5;5;1;1;1
58;Sadia12;3336;Observed;5;5;5;1;1;1
59;Sadia12;3337;Extrapolation;5;5;5;1;1;1
61;Sanga D;1;Rarefaction;1;1;1;0,1742;0,1436;0,2049
62;Sanga D;52;Rarefaction;9,0747;7,7914;10,358;0,9609;0,9377;0,9841
63;Sanga D;95;Observed;10;8,201;11,799;0,9897;0,9627;1
64;Sanga D;96;Extrapolation;10,0103;8,1966;11,824;0,9899;0,9631;1
65;Sanga D;145;Extrapolation;10,3221;7,7313;12,9128;0,9964;0,9766;1
66;Shoma12;1;Rarefaction;1;1;1;0,4167;0,3712;0,4621
67;Shoma12;323;Rarefaction;6,1081;5,4313;6,7848;0,9966;0,9953;0,9978
68;Shoma12;583;Observed;7;6,2394;7,7606;0,9966;0,9966;0,9966
69;Shoma12;584;Extrapolation;7,0034;6,2428;7,7641;0,9966;0,9966;0,9966
70;Shoma12;890;Extrapolation;7,6501;6,8894;8,4107;0,9988;0,9988;0,9988
71;TMD12;1;Rarefaction;1;1;1;0,196;0,1615;0,2304
72;TMD12;104;Rarefaction;10,3878;9,3566;11,4189;0,9878;0,9788;0,9967
73;TMD12;188;Observed;11;9,8016;12,1984;1;0,992;1
74;TMD12;189;Extrapolation;11;9,7993;12,2007;1;0,992;1
75;TMD12;287;Extrapolation;11;9,5184;12,4816;1;0,9953;1
76;Togu;1;Rarefaction;1;1;1;0,3799;0,3086;0,4513
77;Togu;69;Rarefaction;6,8747;5,4714;8,278;0,9717;0,9557;0,9877
78;Togu;126;Observed;8;6,141;9,859;0,9844;0,968;1
79;Togu;127;Extrapolation;8,0156;6,1474;9,8838;0,9846;0,9684;1
80;Togu;192;Extrapolation;8,6441;6,1904;11,0978;0,9945;0,984;1
81;Akumbu9;1;Rarefaction;1;1;1;0,7062;0,6467;0,7657
82;Akumbu9;154;Rarefaction;3,9853;3,759;4,2116;0,9993;0,9969;1
83;Akumbu9;278;Observed;4;4;4;1;1;1
84;Akumbu9;279;Extrapolation;4;4;4;1;1;1
86;Gao9;1;Rarefaction;1;1;1;0,2202;0,1955;0,245
87;Gao9;208;Rarefaction;6,9967;6,9159;7,0775;0,9999;0,9988;1
88;Gao9;376;Observed;7;7;7;1;1;1
89;Gao9;377;Extrapolation;7;7;7;1;1;1
91;Jenne-jeno9;1;Rarefaction;1;1;1;0,2395;0,2275;0,2514
92;Jenne-jeno9;297;Rarefaction;9,5645;6,8098;12,3192;0,9888;0,9811;0,9966
93;Jenne-jeno9;536;Observed;12;7,6427;16,3573;0,9907;0,9835;0,9978
94;Jenne-jeno9;537;Extrapolation;12,0093;7,6456;16,373;0,9907;0,9836;0,9978
95;Jenne-jeno9;818;Extrapolation;14,371;8,2839;20,4581;0,9924;0,9861;0,9988
96;Mara9;1;Rarefaction;1;1;1;0,1756;0,1515;0,1997
97;Mara9;129;Rarefaction;10,4529;8,6973;12,2085;0,9833;0,9727;0,9939
98;Mara9;234;Observed;12;9,4092;14,5908;0,9872;0,9766;0,9978
99;Mara9;235;Extrapolation;12,0128;9,4138;14,6117;0,9873;0,9767;0,9978
100;Mara9;357;Extrapolation;13,3277;9,7694;16,886;0,991;0,9828;0,9992
101;Marakaduguba;1;Rarefaction;1;1;1;0,4369;0,2545;0,6194
102;Marakaduguba;20;Rarefaction;5,0304;3,9054;6,1555;0,9053;0,8498;0,9608
103;Marakaduguba;37;Observed;6;4,4557;7,5443;0,9757;0,9222;1
104;Marakaduguba;38;Extrapolation;6,0243;4,4511;7,5975;0,9781;0,9261;1
105;Marakaduguba;56;Extrapolation;6,2104;4,1366;8,2842;0,9967;0,9626;1
106;Nin_Bere;1;Rarefaction;1;1;1;0,7292;0,5482;0,9102
107;Nin_Bere;14;Rarefaction;1,9669;1,7372;2,1966;0,989;0,9643;1
108;Nin_Bere;26;Observed;2;2;2;1;1;1
109;Nin_Bere;27;Extrapolation;2;2;2;1;1;1
111;Sadia9;1;Rarefaction;1;1;1;0,3593;0,3387;0,3799
112;Sadia9;358;Rarefaction;5;4,9997;5,0003;1;1;1
113;Sadia9;645;Observed;5;5;5;1;1;1
114;Sadia9;646;Extrapolation;5;5;5;1;1;1
116;TMD9;1;Rarefaction;1;1;1;0,1734;0,1348;0,2121
117;TMD9;51;Rarefaction;9,2759;7,9878;10,5641;0,9709;0,9512;0,9906
118;TMD9;92;Observed;10;8,3765;11,6235;0,9894;0,9699;1
119;TMD9;93;Extrapolation;10,0106;8,3772;11,6441;0,9896;0,9704;1
120;TMD9;140;Extrapolation;10,3204;8,2897;12,3511;0,9963;0,9854;1
