"";"Assemblage";"m";"Method";"Order.q";"qD";"qD.LCL";"qD.UCL";"SC";"SC.LCL";"SC.UCL"
"1";"Akumbu12";1;"Rarefaction";0;1;1;1;0,287195260879563;0,249751293359653;0,324639228399473
"2";"Akumbu12";73;"Rarefaction";0;4,54864874395485;3,85062792803171;5,24666955987799;0,992443963591466;0,985544952971393;0,999342974211539
"3";"Akumbu12";133;"Observed";0;5;4,07644131078113;5,92355868921887;1;1;1
"4";"Akumbu12";134;"Extrapolation";0;5;4,07644131078113;5,92355868921887;1;1;1
"5";"Akumbu12";203;"Extrapolation";0;5;4,07644131078113;5,92355868921887;1;1;1
"6";"Ambere-Dougon";1;"Rarefaction";0;1;1;1;0,399621212121207;0,302859789105088;0,496382635137325
"7";"Ambere-Dougon";18;"Rarefaction";0;3,46205306437692;2,82046546175377;4,10364066700006;0,953012911921361;0,914089016822186;0,991936807020536
"8";"Ambere-Dougon";33;"Observed";0;4;3,03900152999998;4,96099847000002;1;0,968948465425155;1
"9";"Ambere-Dougon";34;"Extrapolation";0;4;3,02795375997552;4,97204624002448;1;0,970775026282499;1
"10";"Ambere-Dougon";50;"Extrapolation";0;4;2,87671079110276;5,12328920889724;1;0,988921241138008;1
"11";"Damassogou";1;"Rarefaction";0;1;1;1;0,333186868369903;0,285566390405536;0,380807346334271
"12";"Damassogou";99;"Rarefaction";0;5,87434034798193;5,27328933264421;6,47539136331965;0,994808827363688;0,990097876926482;0,999519777800894
"13";"Damassogou";179;"Observed";0;6;5,40604121813585;6,59395878186415;1;0,996056324289808;1
"14";"Damassogou";180;"Extrapolation";0;6;5,40566365288783;6,59433634711217;1;0,99610014290881;1
"15";"Damassogou";273;"Extrapolation";0;6;5,34320339330818;6,65679660669182;1;0,998620359506113;1
"16";"Doupwil";1;"Rarefaction";0;1;1;1;0,187165775401087;0,126399260894484;0,24793228990769
"17";"Doupwil";18;"Rarefaction";0;5,82632554690396;4,51447564844562;7,1381754453623;0,908209991196399;0,848056388597568;0,96836359379523
"18";"Doupwil";34;"Observed";0;7;4,97743685921915;9,02256314078085;0,942906574394464;0,87848940280826;1
"19";"Doupwil";35;"Extrapolation";0;7,05709342560554;4,98824802182524;9,12593882938583;0,944585792794627;0,881712645367646;1
"20";"Doupwil";52;"Extrapolation";0;7,80696135827269;5,02599278612229;10,5879299304231;0,966640731990719;0,923551086101874;1
"21";"Essouk";1;"Rarefaction";0;1;1;1;0,353088900049844;0,310387259018593;0,395790541081094
"22";"Essouk";201;"Rarefaction";0;7,79389747132874;7,16415348050638;8,42364146215111;0,997263626371283;0,995127298851263;0,999399953891304
"23";"Essouk";363;"Observed";0;8;7,35662080604865;8,64337919395135;1;1;1
"24";"Essouk";364;"Extrapolation";0;8;7,35662080604865;8,64337919395135;1;1;1
