Site;SherdType;Temper;Burnish;Slip;RimType;RimAngle;MxRT;MnBT;Diameter;DecorL1;DecorL2;DecorC1;DecorC2;DecorN1;DecorN2;DecorU1;DecorU2;DecorM1;DecorM2;DecorB;
D 705;RIM;31;0;0;T1;2;13;9;16;CR6;;;;CR6;;;;;;;
D 71-8;RIM;32;0;0;S1;2;8;6;26;CR6;;;;CR6;;;;;;;
D 71-73;RIM;31;0;0;S16;0;10;6;0;CR6;;;;CR6;;;;;;;
D 416;RIM;31;0;0;S1;2;11;7;16;CR6;;;;CR6;;CR6;;;;;
D 140;RIM;31;0;EXT;I5 (BEDAUX);2;9;6;7;SI4;;0;;0;;PA4;;;;;PROBABLY HAD FOOT
D 71-R-23;RIM;31;0;0;I5 (BEDAUX);2;6;4;6;SI4;;;;0;;;;;;;
D 71-N-38;RIM;21;0;0;E68;2;5;4;5;0;;0;;0;;0;;0;;0;
D 291;RIM;31;EXT/INT;0;II6 (BEDAUX);2;5;4;8;CH;;0;;0;;0;;0;;;
D 496;RIM;31;L/EXT;0;I5 (BEDAUX);2;7;5;7;CH;;0;;0;;PA4;;0;;0;
G 71-IV-13;RIM;31;0;0;E6;2;7;3;6;0;;0;;PA4;;SI4;;0;;B5;
D 71-N-35;RIM;31;EXT/INT;EXT/INT;E11;2;7;5;8;0;;0;;0;;;;;;;
D 71-R-25;RIM;31;0;0;E65;2;8;3;5;0;;0;;PA4;;0;;0;;;
D 71-R-24;RIM;32;0;0;S15;2;6;3;6;0;;0;;PA4;;0;;;;;
D 71-7;RIM;31;0;0;S1;2;9;7;12;0;;0;;0;;0;;0;;;
D 71-N-34;RIM;31;0;0;E5;2;7;5;8;0;;0;;PA4;;0;;0;;;
D 71-12;RIM;32;0;0;S1;2;10;8;6;0;;0;;0;;;;;;;
D 71-N-37;RIM;31;0;0;I5 (BEDAUX);2;6;4;6;CH;;0;;0;;0;;0;;;
D 437;RIM;31;0;0;E61;4;10;9;10;CH;;0;;0;;0;;EROD;;;
D 266;RIM;31;0;0;E65;2;7;4;12;0;;0;;0;;0;;0;;;
D 54;RIM;31;0;0;E5;2;7;5;10;0;;0;;0;;0;;;;;
D 271;RIM;31;EXT;0;E70;2;5;4;9;CH;SI4;0;;0;;0;;;;;
D 31;RIM;31;0;L;E51;2;7;6;14;;;PFR2;;PFR2;;PFR2;;PFR2;;;
D 505;RIM;32;EXT/INT;0;T1;3;10;6;12;0;;0;;0;;0;;0;;B5;
D 281;RIM;31;0;0;E103;3;8;7;8;0;;MCH;;0;;0;;;;;
D 804;RIM;31;0;0;E65;3;10;9;16;CR2;;PE1;;PE1;;EROD;;;;;
D 71-69;RIM;31;0;0;S1;2;9;5;10;0;;0;;0;;CR6;;EROD;;;
D 413;RIM;31;0;0;E68;2;10;8;8;0;;0;;CR6;;PFR2;;;;;
D 319;RIM;31;0;L;E1;3;8;6;11;0;;PFR2;;PFR2;;PFR2;;PFR2;;;
D 112;RIM;31;0;0;E11;2;10;8;14;0;;0;;PFR2;;PFR2;;;;;
A2-3-4;RIM;31;0;L;E68;0;10;9;0;0;;CR6;;CR6;;PFR2;;;;;
D 71-34;RIM;31;0;L;S1;3;8;4;13;0;;PFR2;;PFR2;;PFR2;;;;;
D 71-6;RIM;31;0;0;E11;2;8;7;14;0;;CR6;;PFR1;;;;;;;
D 71-N-40;RIM;32;L;0;S15;2;8;8;16;0;;PFR2;;PFR2;;;;;;;
D 532;RIM;32;EROD;0;S9;3;11;10;14;0;;0;;MCH;;0;;PE1;;B5;
D 12;RIM;31;EXT;0;E65;2;7;5;12;0;;0;;0;;0;;0;;B5;
D 7;RIM;31;0;0;S9;3;10;8;10;PE1;;0;;MCH;;0;;0;;B5;
D 605;RIM;31;L/EXT;0;E5;3;8;6;9;0;;MCH;;MCH;;0;;PE1;;B5;
D157;RIM;31;0;0;E5;3;9;7;11;CH;;HERB;;HERB;;0;;PE1;;B5;
D 8;RIM;31;0;0;S9;3;9;8;9;0;;CH;;MCH;;0;;PE1;;B5;
D 302;RIM;31;0;0;S1;3;11;7;8;0;;0;;0;;0;;0;;B4;
G71-IV-*;RIM;31;0;INT/EXT;S1;3;11;6;16;0;;0;;0;;0;;0;;;
G71-II-5;RIM;32;0;0;E68;2;9;7;12;0;;PRL;9 (BEDAUX);9 (BEDAUX);;EROD;;;;;
P 57;RIM;32;L;0;S1;0;18;15;0;0;;0;;BSR;;;;;;;
D 227;RIM;31;0;0;S20;2;9;6;12;CH;;0;;CR;;CR;;CR1;;;
D71-97;RIM;31;0;L;E65;2;7;5;0;0;;CR6;;;;;;;;;
D71-N-39;RIM;31;0;0;E65;2;8;7;32;0;;CR1;CR6;CR1;CR6;;;;;;
D71-R-82;RIM;32;0;0;E2;2;11;9;20;0;;0;;EROD;;0;;;;;
D 420;RIM;31;0;0;E11;4;9;8;26;0;;0;;CR6;;CR6;;;;;
G71-IV-322;RIM;32;0;0;S1;1;8;6;14;0;;SI2;;0;;0;;;;;
D 241;RIM;32;0;0;S9;4;11;10;34;0;;CR6;;CR6;;CR6;;CR6;;;
D 451;BASE;32;0;0;;;13;;;;;;;;;;;CR6;;B4,CR6;POSS BASE FOR D 241
G71-I-11;RIM;32;0;0;E7;2;6;5;9;0;;0;;CR;;;;;;;
G71-I-6;RIM;32;0;0;E7;2;8;6;9;0;;0;;CR;;0;;0;;B4;
G71-VII-8;RIM;31;0;0;E5;2;9;8;9;0;;0;;BSR;;BSR;;BSR;;B4, BSR;
G71-I-25;RIM;32;0;0;E1;3;10;6;9;0;;HERB;;HERB;;;;;;;
G71-VI-2;RIM;31;0;0;E5;2;14;6;9;0;;CH;;PE1;;BSR;;BSR;;;
