Site,Year,Unit,Context,Horizon,Parts,MaxTh,MinTh,RimAngle,RimType,Diameter,Temper,Burnish,Slip,Motif1,Loc1,Motif2,Loc2,Motif3,Loc3,Motif4,Loc4,Motif5,Loc5,Type
MDB,2019,C,5,,LUM,10,12,1,SNS33,24,33,LU+INT,LU+INT,CR4,CH,U,,,,,,,,
MDB,2019,C,5,,LUM,9,19,6,SNC1,34,32,LUM+INT,LUM+IINT,CR4,UM,,,,,,,,,
MDB,2019,C,5,,LU,18,20,1,SNS9,32,32,LU+INT,LU+INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,B,7,12,6,SNB6,8,33,LU+INT,LU,,,,,,,,,,,
MDB,2019,C,5,,LU,16,9,1,SNY5,26,32,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,8,11,1,SNY5,,32,LU+INT,LU+INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LC,9,16,5,SNE20,16,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,LC,8,12,4,SNE6,10,32,LU+INT,LU+INT,MCH,C,,,,,,,,,
MDB,2019,C,5,,LU,7,12,1,SNY5,14,32,LU+INT,LU+INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,10,16,6,SNC13,28,33,LU+INT,LU+INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,7,8,2,SNS11,22,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,B,6,11,6,SNB5,8,32,LU+INT,,,,,,,,,,,,
MDB,2019,C,5,,LU,7,12,6,SNC4,22,32,LU-INT,LU-INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,11,10,4,SNS51,20,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,LU,10,9,1,SNS22,14,32,LU+INT,LU,MCH,U,,,,,,,,,
MDB,2019,C,5,,LC,8,12,5,SNE20,12,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,LU,9,12,1,SNS11,16,33,LU+INT,LU+INT,EROD,U,CH,U,,,,,,,
MDB,2019,C,5,,LU,7,11,1,SNY5,18,32,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,9,13,6,SNC2,28,32,LU+INT,LU+INT,ROUGH,U,,,,,,,,,
MDB,2019,C,5,,LUM,7,16,1,SNY5,18,33,LUM-INT,LU,VPR,UM,,,,,,,,,
MDB,2019,C,5,,LUM,7,16,6,SNC1,36,32,LUM+INT,LUM+IINT,,,,,,,,,,,
MDB,2019,C,5,,LUM,11,8,3,SNS22,28,32,LUM+INT,LUM,MCH,LU+INT,,,,,,,,,
MDB,2019,C,5,,LU,10,12,1,SNY5,,32,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,B,10,20,6,SNB4,10,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,LU,10,12,2,SNS46,22,32,LU+INT,LU+INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,8,10,6,SNC1,10,32,LU+INT,,ROUGH,U,,,,,,,,,
MDB,2019,C,5,,LU,18,12,1,SNY8,32,33,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,8,13,4,SNS9,,33,LU+INT,,,,,,,,,,,,
MDB,2019,C,5,,LU,8,12,1,SNY5,18,32,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,8,14,1,SNY4,,32,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,7,10,6,SNC9,6,32,LU+INT,,,,,,,,,,,,
MDB,2019,C,5,,LU,13,14,2,SNS9,,32,LU+INT,LU-INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,5,10,1,SNT6,,32,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,20,15,1,SNS42,,32,LU+INT,LU,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,10,13,1,SNS37,16,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,LU,10,9,6,SNC8,20,32,LU+INT,LU+INT,EROD,U,,,,,,,,,
MDB,2019,C,5,,LU,11,12,3,SNS51,26,32,LU+INT,,MCH,U+INT,,,,,,,,,
MDB,2019,C,5,,LC,9,12,5,SNE20,18,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,LU,8,13,1,SNY3,,32,LU+INT,LU,EROD,U,,,,,,,,,
MDB,2019,C,5,,LU,9,11,4,SNC1,20,32,LU+INT,,VPR,U,,,,,,,,,
MDB,2019,C,5,,LU,12,15,2,SNS37,24,32,LU-INT,LU+INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,11,9,3,SNE9,18,32,LU+INT,LU+INT,CR4,U,,,,,,,,,
MDB,2019,C,5,,LU,8,14,6,SNC2,22,32,LU+INT,LU+INT,,,,,,,,,,,
MDB,2019,C,5,,B,10,19,5,SNB2,16,32,LU+INT,,,,,,,,,,,,
