ID;Site;Unit;Layer;Phase;Period;Out Sur Treat;RimTYpeCA;Rim Angle;Rim Thickness;Rim Dia;CR2/3;Dogon;RSO;CR6;CR4;PE;ch;paint;ICS
1;TBZ2;1;1;5;3;23;C;2;7,9;9;0;0;0;0;0;0;0;0;0
2;TBZ2;1;1;5;3;23;E1;3;6,88;6;0;0;0;0;0;0;0;0;0
3;TBZ2;1;1;5;3;23;S;3;14,41;;0;0;0;0;0;0;0;0;0
4;TBZ2;1;1;5;3;2;E1;3;9,67;22;0;0;0;0;1;0;0;0;0
6;TBZ2;1;1;5;3;2;;4;18,06;14;0;0;0;0;0;0;0;0;0
7;TBZ2;1;1;5;3;23;E1;3;6,61;5;0;0;0;0;0;0;0;0;0
8;TBZ2;1;1;5;3;2;S;4;12,87;;0;0;0;0;0;0;0;0;0
8;TBZ2;1;1;5;3;23;E3;1;9,47;;0;0;0;0;0;0;0;0;0
9;TBZ2;1;1;5;3;23;S;3;19,51;17;0;0;0;0;0;0;0;0;0
10;TBZ2;1;1;5;3;2;S;4;18,88;35;0;0;0;0;0;1;0;0;0
11;TBZ2;1;1;5;3;23;E1;3;7,69;13;0;0;0;0;0;0;0;0;0
13;TBZ2;1;1;5;3;2;E2;2;21,82;11;0;0;0;0;0;0;0;1;0
15;TBZ2;1;1;5;3;2;S;3;9,85;;0;0;0;1;1;0;0;1;0
15;TBZ2;1;1;5;3;23;C;3;7,2;;0;0;0;0;0;0;0;0;0
16;TBZ2;1;1;5;3;1;S;3;18,56;9;0;0;0;0;0;1;0;1;0
17;TBZ2;1;1;5;3;2;E1;3;12,69;11;0;0;0;1;0;1;0;0;0
18;TBZ2;1;1;5;3;2;S;4;21;17;0;0;0;0;0;0;0;0;0
19;TBZ2;1;1;5;3;2;S;4;12,41;16;0;0;0;0;0;0;0;0;0
19;TBZ1;8;2;4;3;2;E1;4;10,8;11;0;0;0;0;0;1;0;0;0
20;TBZ2;1;1;5;3;23;E1;2;7,17;22;0;0;0;0;0;0;0;0;0
21;TBZ2;1;1;5;3;2;S;3;13,34;19;0;0;0;0;0;0;0;0;0
22;TBZ2;1;1;5;3;2;E1;3;9,2;6;0;0;0;0;0;1;0;0;0
23;TBZ2;1;1;5;3;2;E1;3;12,73;;0;0;0;0;0;1;0;0;0
23;TBZ2;1;1;5;3;2;E1;3;8,92;;0;0;0;0;0;1;0;0;0
23;TBZ2;1;1;5;3;2;E1;3;10,41;;0;0;0;0;0;1;0;0;0
24;TBZ2;1;1;5;3;2;E1;4;11,16;11;0;0;0;0;0;1;0;1;0
25;TBZ2;1;1;5;3;23;E1;3;11,46;;0;0;0;0;0;1;0;0;0
27;TBZ2;1;1;5;3;2;E1;3;13,06;12;0;0;0;0;0;1;0;0;0
29;TBZ2;1;1;5;3;1;E1;4;9,33;13;0;0;0;0;0;1;0;1;0
30;TBZ2;1;1;5;3;2;E1;3;10,51;14;0;0;0;0;0;1;0;0;0
31;TBZ2;1;1;5;3;2;E1;4;10,74;;0;0;0;0;0;0;0;0;0
32;TBZ2;1;1;5;3;23;S;3;15,42;14;0;0;0;0;0;1;0;1;0
33;TBZ2;1;1;5;3;2;E1;4;12,43;12;0;0;0;0;0;1;0;1;0
34;TBZ2;1;1;5;3;2;E1;3;12,58;10;0;0;0;0;0;0;0;1;0
35;TBZ2;1;1;5;3;2;S;3;10,41;14;0;0;0;0;0;1;0;0;0
36;TBZ2;1;1;5;3;2;E1;3;11,11;10;0;0;0;0;0;1;0;0;0
37;TBZ2;1;1;5;3;2;E1;4;10,72;;0;0;0;0;0;1;0;0;0
38;TBZ2;1;1;5;3;2;E1;3;8,76;12;0;0;0;0;0;1;0;0;0
39;TBZ2;1;1;5;3;2;E1;3;10,87;;0;0;0;0;0;1;0;0;0
39;TBZ2;1;1;5;3;23;;3;11;;0;0;0;0;0;0;0;0;0
40;TBZ2;1;1;5;3;2;E1;4;8,47;13;0;0;0;0;0;0;0;1;0
41;TBZ2;1;1;5;3;23;E1;4;11,08;11;0;0;0;0;0;1;0;0;0
42;TBZ2;1;1;5;3;1;E1;4;10,68;7;0;0;0;0;1;0;0;0;0
43;TBZ2;1;1;5;3;23;E1;4;13,02;11;0;0;0;0;0;1;0;0;0
44;TBZ2;1;1;5;3;2;C;4;10,87;35;0;0;0;0;0;1;0;1;0
46;TBZ2;1;1;5;3;2;E1;4;11,73;12;0;0;0;0;0;1;0;1;0
47;TBZ2;1;1;5;3;2;S;3;16,5;14;0;0;0;0;0;0;0;0;0
48;TBZ2;1;1;5;3;2;;3;5,88;;0;0;0;0;0;0;0;0;0
50;TBZ2;1;1;5;3;2;;3;18,53;;0;0;0;0;0;0;0;0;0
51;TBZ2;1;1;5;3;2;S;4;11,2;13;0;0;0;0;0;0;0;0;0
52;TBZ2;1;1;5;3;2;;2;23,62;18;0;0;0;0;0;0;0;0;0
53;TBZ2;1;1;5;3;2;S;4;22,67;13;0;0;0;0;0;0;0;0;0
54;TBZ2;1;1;5;3;23;S;3;18,49;12;0;0;0;0;0;0;0;0;0
55;TBZ2;1;1;5;3;2;S;3;22,97;9;0;0;0;0;0;0;0;0;0
56;TBZ2;1;1;5;3;2;E1;3;9,1;13;0;0;0;0;0;1;0;0;0
57;TBZ2;1;1;5;3;2;S;4;9,35;12;0;0;0;0;0;0;0;0;0
58;TBZ2;1;1;5;3;2;E1;3;11,79;15;0;0;0;0;0;1;0;0;0
59;TBZ2;1;1;5;3;23;S;3;7,43;14;0;0;0;0;0;0;0;0;0
60;TBZ2;1;1;5;3;23;S;3;6,79;6;0;0;0;0;0;0;0;0;0
61;TBZ2;1;1;5;3;2;S;3;18,78;18;0;0;0;0;0;0;0;0;0
62;TBZ2;1;1;5;3;23;;4;11,66;13;0;0;0;0;0;0;0;0;0
63;TBZ2;1;1;5;3;2;S;3;12,12;;0;0;0;0;0;1;0;0;0
64;TBZ2;1;1;5;3;2;S;3;7,36;19;0;0;0;0;0;0;0;0;0
64;TBZ2;1;1;5;3;2;S;4;22,86;;0;0;0;0;0;0;0;0;0
65;TBZ2;1;1;5;3;2;;3;23,18;;0;0;0;0;0;0;0;0;0
66;TBZ2;1;1;5;3;2;E1;3;5,84;6;0;0;0;0;0;0;0;1;0
67;TBZ2;1;1;5;3;2;S;4;10,23;14;0;0;0;0;0;0;0;0;0
68;TBZ2;1;1;5;3;2;S;3;20,78;16;0;0;0;0;0;0;0;0;0
69;TBZ2;1;1;5;3;2;S;3;9,44;10;0;0;0;0;0;0;0;1;0
70;TBZ2;1;1;5;3;23;S;4;5,47;;0;0;0;0;0;0;0;0;0
71;TBZ2;1;1;5;3;23;S;2;7,49;11;0;0;0;0;0;0;0;0;0
72;TBZ2;1;1;5;3;23;E1;3;8,56;10;0;0;0;0;0;0;0;0;0
73;TBZ2;1;1;5;3;2;S;3;12,89;10;0;0;0;0;0;0;0;0;0
74;TBZ2;1;1;5;3;23;E1;3;6,23;6;0;0;0;0;0;0;0;0;0
76;TBZ2;1;1;5;3;2;S;3;8,47;6;0;0;0;0;0;0;0;0;0
77;TBZ2;1;1;5;3;2;S;3;8,5;10;0;0;0;0;0;0;0;0;0
78;TBZ2;1;1;5;3;23;S;2;6,75;6;0;0;0;0;0;0;0;0;0
79;TBZ2;1;1;5;3;23;S;5;12,45;9;0;0;0;0;0;0;0;0;0
80;TBZ2;1;1;5;3;2;S;4;24,8;35;0;0;0;0;0;0;0;0;0
81;TBZ2;1;1;5;3;23;;4;9,68;14;0;0;0;0;0;0;0;0;0
82;TBZ2;1;1;5;3;1;S;3;10,08;;0;0;0;0;0;0;0;0;0
82;TBZ2;1;1;5;3;2;E1;3;9,48;;0;0;0;0;0;0;0;0;0
85;TBZ2;1;1;5;3;2;S;3;18,16;;0;0;0;0;0;1;0;0;0
86;TBZ2;1;1;5;3;23;E1;3;7,38;14;0;0;0;0;0;0;0;0;0
87;TBZ2;1;1;5;3;23;S;3;13,41;;0;0;0;0;0;0;0;0;0
87;TBZ2;1;1;5;3;23;E1;3;9,06;;0;0;0;0;0;1;0;0;0
88;TBZ2;1;1;5;3;23;S;4;8,58;13;0;0;0;0;0;0;0;0;0
89;TBZ2;1;1;5;3;23;S;4;11,4;14;0;0;0;1;0;0;0;0;0
90;TBZ2;1;1;5;3;2;S;3;12,54;11;0;0;0;0;0;0;0;0;0
91;TBZ2;1;1;5;3;23;C;3;7,57;22;0;0;0;0;0;0;0;0;0
92;TBZ2;1;1;5;3;2;S;3;18,54;24;0;0;0;0;0;0;0;1;0
93;TBZ2;1;1;5;3;2;S;4;27;25;0;0;0;0;0;0;0;1;0
94;TBZ2;1;1;5;3;2;S;4;16,83;21;0;0;0;0;0;0;0;1;0
95;TBZ2;1;1;5;3;2;S;3;21,83;19;0;0;0;0;0;0;0;0;0
96;TBZ2;1;1;5;3;2;S;2;7,88;7;0;0;0;0;0;0;0;0;0
97;TBZ2;1;1;5;3;2;E1;3;8;13;0;0;0;0;0;0;0;0;0
98;TBZ2;1;1;5;3;23;S;2;21,64;21;0;0;0;0;0;0;0;0;0
99;TBZ2;1;1;5;3;2;S;4;6,86;12;0;0;0;0;0;0;0;0;0
100;TBZ2;1;1;5;3;2;E1;3;6,8;8;0;0;0;0;0;0;0;0;0
101;TBZ2;1;1;5;3;2;S;3;21,96;17;0;0;0;0;0;0;0;0;0
102;TBZ2;1;1;5;3;2;;3;9,54;13;0;0;0;0;0;0;0;1;0
103;TBZ2;1;1;5;3;23;S;3;24,37;24;0;0;0;0;0;0;0;0;0
104;TBZ2;1;1;5;3;1;S;3;17,67;21;0;0;0;0;0;0;0;1;0
105;TBZ2;1;1;5;3;2;;2;9,36;13;0;0;0;0;0;0;0;1;0
106;TBZ2;1;1;5;3;23;S;4;8,35;13;0;0;0;0;0;0;0;0;0
107;TBZ2;1;1;5;3;23;E1;3;7,9;12;0;0;0;0;0;0;0;0;0
108;TBZ2;1;1;5;3;2;E1;3;7,59;23;0;0;0;0;0;0;0;0;0
110;TBZ2;1;2;5;3;23;S;4;7,69;10;0;0;0;0;0;0;0;0;0
111;TBZ2;1;2;5;3;23;S;4;17,1;12;0;0;0;0;0;0;0;0;0
112;TBZ2;1;2;5;3;2;S;4;10,93;10;0;0;0;0;0;0;0;0;0
113;TBZ2;1;2;5;3;23;C;1;6,95;8;0;0;0;0;0;0;0;0;0
114;TBZ2;1;2;5;3;2;E1;4;13,84;17;0;0;0;0;0;1;0;0;0
115;TBZ2;1;2;5;3;2;S;4;21,11;15;0;0;0;0;0;0;0;0;0
116;TBZ2;1;2;5;3;23;S;4;10,47;9;0;0;0;0;0;0;0;0;0
117;TBZ2;1;2;5;3;2;E1;2;9,26;11;0;0;0;0;0;0;0;0;0
118;TBZ2;1;2;5;3;2;S;4;14,65;14;0;0;0;0;0;0;0;0;0
119;TBZ2;1;2;5;3;2;S;4;20,62;22;0;0;0;0;0;0;0;0;0
120;TBZ2;1;2;5;3;2;S;3;5,38;9;0;0;0;0;0;0;0;0;0
121;TBZ2;1;2;5;3;23;S;4;6,17;13;0;0;0;0;0;0;0;1;0
122;TBZ2;1;2;5;3;23;E1;2;7,5;7;0;0;0;0;0;0;0;0;0
123;TBZ2;1;2;5;3;2;S;4;11,6;11;0;0;0;0;0;0;0;0;0
124;TBZ2;1;2;5;3;2;S;4;17,14;17;0;0;0;0;0;0;0;0;0
125;TBZ2;1;2;5;3;2;S;4;10,31;12;0;0;0;1;0;0;0;1;0
126;TBZ2;1;2;5;3;2;S;4;11;13;0;0;0;0;0;0;0;0;0
127;TBZ2;1;2;5;3;2;S;4;24,72;17;0;0;0;0;0;0;0;0;0
128;TBZ2;1;2;5;3;2;E2;2;21,2;19;0;0;0;0;0;0;0;0;0
129;TBZ2;1;2;5;3;2;S;4;5,89;12;0;0;0;0;0;0;0;0;0
130;TBZ2;1;2;5;3;2;S;4;8,89;9;0;0;0;0;0;0;0;0;0
131;TBZ2;1;2;5;3;2;S;4;23,4;19;0;0;0;0;0;0;0;0;0
132;TBZ2;1;2;5;3;2;S;4;8,85;10;0;0;0;0;1;0;0;0;0
133;TBZ2;1;2;5;3;2;S;4;10,68;12;0;0;0;0;0;0;0;0;0
134;TBZ2;1;2;5;3;2;S;4;19,71;14;0;0;0;0;0;0;0;0;0
135;TBZ2;1;2;5;3;2;S;4;13,08;12;0;0;0;0;0;0;0;0;0
136;TBZ2;1;2;5;3;23;S;4;5,39;6;0;0;0;0;0;0;0;0;0
137;TBZ2;1;2;5;3;2;S;4;10,98;11;0;0;0;0;0;0;0;0;0
138;TBZ2;1;2;5;3;;;;;;;;;;;;;;
139;TBZ2;1;2;5;3;2;S;4;19,95;24;0;0;0;0;0;0;0;0;0
140;TBZ2;1;2;5;3;2;S;4;9,86;14;0;0;0;0;0;0;0;0;0
141;TBZ2;1;2;5;3;2;E1;4;9,85;10;0;0;0;0;0;1;0;1;0
142;TBZ2;1;2;5;3;2;S;3;27,4;20;0;0;0;0;0;0;0;0;0
142;TBZ2;1;2;5;3;2;E2;2;26,65;20;0;0;0;0;0;0;0;0;0
143;TBZ2;1;2;5;3;23;S;3;7,6;;0;0;0;0;0;0;0;0;0
144;TBZ2;1;2;5;3;2;S;4;8,61;10;0;0;0;0;0;0;0;0;0
145;TBZ2;1;2;5;3;2;E2;2;23,78;16;0;0;0;0;0;0;0;0;0
146;TBZ2;1;2;5;3;2;S;4;10,86;;0;0;0;1;0;0;0;0;0
147;TBZ2;1;2;5;3;2;S;4;9,85;14;0;0;0;0;0;0;0;0;0
148;TBZ2;1;2;5;3;2;E1;4;10,2;13;0;0;0;0;0;1;0;0;0
149;TBZ2;1;2;5;3;2;E1;4;9,05;8;0;0;0;0;0;1;0;1;0
150;TBZ2;1;2;5;3;2;S;4;23,01;12;0;0;0;0;0;0;0;0;0
151;TBZ2;1;2;5;3;2;S;4;18,65;17;0;0;0;0;0;0;0;1;0
152;TBZ2;1;2;5;3;2;S;4;10,8;9;0;0;0;0;0;0;0;0;0
153;TBZ2;1;2;5;3;2;E1;4;13,38;11;0;0;0;0;0;1;0;0;0
154;TBZ2;1;2;5;3;2;S;4;17,93;20;0;0;0;0;0;0;0;0;0
155;TBZ2;1;2;5;3;2;E1;4;15,78;13;0;0;0;0;0;0;0;0;0
156;TBZ2;1;2;5;3;2;E1;4;8,18;10;0;0;0;0;0;1;0;0;0
157;TBZ2;1;2;5;3;23;S;4;9,56;10;0;0;0;0;0;0;0;0;0
158;TBZ2;1;2;5;3;2;E1;4;10,38;14;0;0;0;0;0;1;0;0;0
159;TBZ2;1;2;5;3;23;S;4;8,89;11;0;0;0;0;0;0;0;0;0
160;TBZ2;1;2;5;3;23;S;4;7,21;10;0;0;0;0;0;0;0;0;0
161;TBZ2;1;2;5;3;2;S;2;21,92;14;0;0;0;0;0;0;0;0;0
162;TBZ2;1;2;5;3;2;E1;4;13,36;13;0;0;0;0;0;1;0;0;0
163;TBZ2;1;2;5;3;23;E1;3;6,57;6;0;0;0;0;0;0;0;0;0
164;TBZ2;1;2;5;3;2;E2;2;18,37;19;0;0;0;0;0;0;0;0;0
165;TBZ2;1;2;5;3;;;;;;;;;;;;;;
166;TBZ2;1;2;5;3;2;S;4;5,67;9;0;0;0;0;0;0;0;0;0
167;TBZ2;1;2;5;3;2;S;4;27,36;14;0;0;0;0;0;0;0;0;0
168;TBZ2;1;2;5;3;23;S;4;8,19;12;0;0;0;0;0;0;0;0;0
169;TBZ2;1;2;5;3;2;E1;4;11,19;14;0;0;0;0;0;1;0;0;0
170;TBZ2;1;2;5;3;2;E2;2;21,64;15;0;0;0;0;0;0;0;0;0
171;TBZ2;1;2;5;3;2;E2;2;23,5;22;0;0;0;0;0;0;0;0;0
172;TBZ2;1;2;5;3;23;S;4;10,48;11;0;0;0;0;0;0;0;0;0
173;TBZ2;1;2;5;3;2;S;4;21,81;15;0;0;0;0;0;0;0;0;0
174;TBZ2;1;2;5;3;23;S;3;6,41;7;0;0;0;0;0;0;0;0;0
175;TBZ2;1;2;5;3;23;E1;3;7,25;12;0;0;0;0;0;0;0;0;0
176;TBZ2;1;2;5;3;;;;;;;;;;;;;;
177;TBZ2;1;2;5;3;23;E1;3;7,83;9;0;0;0;0;0;0;0;0;0
178;TBZ2;1;2;5;3;23;S;4;8,14;13;0;0;0;0;0;0;0;0;0
179;TBZ2;1;2;5;3;2;S;4;11,32;13;0;0;0;0;0;0;0;1;0
180;TBZ2;1;2;5;3;2;S;4;6,99;7;0;0;0;0;0;0;0;0;0
181;TBZ2;1;2;5;3;2;E3;2;22,78;9;0;0;0;0;1;0;0;1;0
182;TBZ2;1;2;5;3;23;S;4;6,44;11;0;0;0;0;0;0;0;0;0
183;TBZ2;1;2;5;3;2;S;3;11,89;14;0;0;0;0;0;0;0;0;0
184;TBZ2;1;2;5;3;2;E2;2;18,76;;0;0;0;0;0;0;0;0;0
185;TBZ2;1;2;5;3;2;S;4;13,71;11;0;0;0;0;0;0;0;0;0
186;TBZ2;1;2;5;3;2;S;4;9,95;14;0;0;0;0;1;0;0;0;0
187;TBZ2;1;2;5;3;23;S;4;11,01;15;0;0;0;0;0;0;0;0;0
187;TBZ2;1;2;5;3;2;S;4;8,11;5;0;0;0;0;0;0;0;0;0
187;TBZ2;1;2;5;3;2;S;4;8,75;11;0;0;0;0;0;0;0;0;0
188;TBZ2;1;2;5;3;23;S;4;13,8;;0;0;0;0;0;0;0;0;0
188;TBZ2;1;2;5;3;23;S;4;13,93;14;0;0;0;0;0;0;0;0;0
189;TBZ2;1;2;5;3;2;S;4;21,55;14;0;0;0;0;0;0;0;0;0
190;TBZ2;1;2;5;3;2;E1;4;11,65;10;0;0;0;0;0;1;0;0;0
191;TBZ2;1;2;5;3;2;E1;4;12,98;12;0;0;0;0;0;1;0;0;0
192;TBZ2;1;2;5;3;2;E1;4;8,93;10;0;0;0;0;0;1;0;0;0
193;TBZ2;1;2;5;3;;;;;;;;;;;;;;
194;TBZ2;1;2;5;3;2;E2;2;26,49;19;0;0;0;0;0;0;0;0;0
194;TBZ2;1;2;5;3;2;E1;4;9,92;12;0;0;0;0;0;1;0;0;0
196;TBZ2;1;2;5;3;2;S;4;18,65;14;0;0;0;0;0;0;0;0;0
197;TBZ2;1;2;5;3;2;E2;2;12,68;11;0;0;0;0;0;0;0;0;0
197;TBZ2;1;2;5;3;;;;;;;;;;;;;;
198;TBZ2;1;2;5;3;23;C;1;7,52;9;0;0;0;0;0;0;0;0;0
199;TBZ2;1;2;5;3;2;E1;4;8,36;14;0;0;0;0;0;1;0;0;0
200;TBZ2;1;2;5;3;23;E2;2;17,93;17;0;0;0;0;0;0;0;0;0
201;TBZ2;1;2;5;3;2;E1;4;10,4;13;0;0;0;0;0;1;0;0;0
202;TBZ2;1;2;5;3;2;S;4;6,6;13;0;0;0;0;0;0;0;0;0
203;TBZ2;1;2;5;3;2;S;4;18,41;15;0;0;0;0;0;0;0;0;0
204;TBZ2;1;2;5;3;2;S;4;6,74;9;0;0;0;0;0;0;0;0;0
205;TBZ2;1;2;5;3;2;S;4;17,67;16;0;0;0;1;1;0;0;1;0
206;TBZ2;1;2;5;3;2;S;4;26,84;19;0;0;0;0;0;0;0;0;0
207;TBZ2;1;2;5;3;2;S;4;18,33;14;0;0;0;0;0;0;0;0;0
208;TBZ2;1;2;5;3;2;S;4;10,25;11;0;0;0;0;0;0;0;0;0
209;TBZ2;1;2;5;3;2;;2;24,23;16;0;0;0;0;0;0;0;0;0
210;TBZ2;1;2;5;3;2;S;4;8,47;9;0;0;0;0;0;0;0;0;0
211;TBZ2;1;2;5;3;23;E1;4;13,41;16;0;0;0;0;0;1;0;0;0
212;TBZ2;1;2;5;3;2;E2;2;22,24;15;0;0;0;0;0;0;0;0;0
213;TBZ2;1;2;5;3;2;S;4;6,53;11;0;0;0;0;0;0;0;0;0
213;TBZ2;1;2;5;3;2;S;4;7,97;10;0;0;0;0;0;0;0;0;0
214;TBZ2;1;2;5;3;2;S;4;15,82;11;0;0;0;1;0;0;0;0;0
215;TBZ2;1;2;5;3;2;S;4;10,97;11;0;0;0;0;0;0;0;0;0
216;TBZ2;1;2;5;3;2;S;4;10,69;12;0;0;0;0;0;0;0;0;0
217;TBZ2;1;2;5;3;2;S;4;10,13;11;0;0;0;0;0;0;0;1;0
218;TBZ2;1;2;5;3;2;S;3;23,36;12;0;0;0;0;0;0;0;0;0
219;TBZ2;1;2;5;3;2;E1;4;11,1;14;0;0;0;0;0;1;0;0;0
220;TBZ2;1;2;5;3;2;S;4;14,62;13;0;0;0;0;0;0;0;0;0
221;TBZ2;1;2;5;3;2;S;4;8,88;12;0;0;0;0;0;0;0;0;0
222;TBZ2;1;2;5;3;2;S;4;9,07;7;0;0;0;0;1;0;0;1;0
230;TBZ2;1;3;5;3;2;E1;3;10,67;6;0;0;0;0;0;1;0;1;0
230;TBZ2;1;3;5;3;2;E1;3;11,92;13;0;0;0;0;0;1;0;0;0
