Phase;Unit;Rim Type;Rim Angle;MxRT;MnBT;Diameter;Temper;Firing;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4
5 up;C;B1;;;;7;32;8;0;EXT;0;;;;;;;
4/5;C;S2;2;17;18;34;31;13;0;0;CCRY;N U;CH;N;;;;
4;C;S2;4;8;8;18;31;2;EXT INT;EXT INT;CH;N;PLAIN;N U;;;;
4;C;S15;4;12;9;26;44;10;L;L INT;CH;N;TW4;N U;P B-W;U;;
4;C;S15;4;13;;26;44;10;L;L INT;CH;N;TW4;N;P B-W;N;;
4;C;S15;4;13;9;26;44;10;L;L INT;CH;N;TW4;N;P B-W;U;;
3 up;C;S15;2;12;7;20;32;4;L;L INT;CH;N;TW4;U;;;;
5 low;C;S2;2;10;9;18;32;1;E;L EXT;CH;N;;;;;;
4;C;S1;2;13;10;20;32;13;0;0;CSR7;N U;;;;;;
5 up;C;S9;2;11;12;10;44;3;0;EXT INT;DC2;L;CH;N;EROD;N;;
5 up;C;S13;2;12;6;18;31;1;EXT ;EXT INT;DC2;N;P R-W;U;P B-G;N;;
5 up;C;S10;2;7;7;10;44;3;0;EXT;DC2;N;P R-W;N;;;;
4;C;S15;4;15;9;18;31;9;0;L N;DC2;N U;;;;;;
5 up;C;S1;2;7;9;8;31;13;0;INT;DC2;U;;;;;;
4/5;C;E3;2;9;10;14;32;13;0;EXT INT;EROD;R;GRASS;C;DC2;U;P BR-W;U
4;C;S2;4;11;13;;31;1;0;0;EROD;;;;;;;
5 up;C;E53;1;9;8;16;32;1;0;L EXT;GRASS;C;DC2;U;;;;
5 up low;C;E53;1;16;10;14;32;13;L;L EXT;GRASS;L C N;DC2;U;;;;
5 low;C;S1;4;17;16;;32;1;0;EXT;GRASS;L N;EROD;N;;;;
5 up;C;E56;2;10;7;20;31;1;0;EXT INT;GRASS;C;MCH;N;TW6;U;;
4;C;E66;2;14;14;18;31;4;0;L INT;GRASS;C;P B;;;;;
4/5;C;E53;2;11;9;16;31;1;0;L;GRASS;L C N;P B;;P W;;;
5 up;C;E55;;13;6;22;31;1;0;ECT ;GRASS;C;P B-G;C;;;;
5 up low;C;E58;2;12;;14;32;10;N U;EXT INT;GRASS;L C N;P B-G;L N;P W-G;C N;;
5 up low;C;E53;1;15;;;32;13;0;EXT INT;GRASS;L C N;P B-G;L C N;;;;
3/4;C;E68;1;16;12;18;32;4;L;L;GRASS;N U;P B-W;U;;;;
5 up;C;E56;2;10;13;18;44;8;0;EXT INT;GRASS;C;P R-W;U;;;;
4;C;E52;1;12;11;20;31;8;0;L EXT;GRASS;N U;P W-G;C U;;;;
3/4;C;E68;1;12;7;16;32;2;L;EXT INT;GRASS;L N;P W-W;C N;P B-W;U;;
5 up;C;E64;2;16;10;12;31;1;0;L EXT;GRASS;C;PLAIN;U;P R-W;U;;
4;C;E54;3;10;9;22;32;13;0;C;GRASS;C;TW1;;;;;
4;C;S2;4;10;6;10;31;4;INT;EXT INT;GRASS;N U;TW4;U;;;;
3 up;C;S2;3;12;9;28;32;1;L;T/O;GRASS;N U;TW4;U;;;;
4;C;E7;2;8;11;20;31;8;0;0;GRASS;L C N;;;;;;
4;C;E58;2;11;19;;31;9;0;0;GRASS;L C N;;;;;;
5 low;C;E58;;8;;;44;3;0;EXT INT;GRASS;C N;;;;;;
5 low;C;E58;2;10;8;10;32;1;0;L;GRASS;L U;;;;;;
5 low;C;E56;;11;11;;32;13;L;EXT INT;GRASS;L C N;;;;;;
5 up;C;S1;4;7;10;22;32;9;0;EXT INT;GRASS;L N;;;;;;
5 up;C;E53;2;12;9;22;23;4;L;EXT INT;GRASS;N;;;;;;
5 up low;C;B1;;;;;32;12;0;EXT INT;GRASS;;;;;;;
5 up low;C;B2;;;;10;31;2;0;EXT;GRASS;;;;;;;
4;C;S2;2;9;5;18;31;1;0;0;ICS1;N U;TW1;L;;;;
4/5;C;S2;2;7;8;12;32;11;0;EXT INT;ICS1;N U;;;;;;
4;C;E63;2;11;6;8;31;9;L;L;P B-G;L;;;;;;
4;C;E52;2;12;8;22;32;9;L;EXT INT;P B-W;L;GRASS;C;;;;
4/5;C;E53;2;13;9;18;32;3;0;EXT INT;P B-W;L C N;GRASS;C;DC2;N;;
4/5;C;E53;2;12;11;14;32;8;0;L N;P B-W;C;GRASS;C;;;;
4/5;C;E53;2;16;;;32;3;0;EXT INT;P B-W;L C N;GRASS;C;;;;
5 up low;C;S15;2;16;6;24;31;2;L;0;P B-W;L N;P R;L N;GRASS;L N;;
4;C;E3;2;12;9;;31;4;0;L;P B-W;L N;P W-W;C;;;;
3/4;C;E68;1;9;7;14;32;1;L INT;T/O;P B-W;L N;P W-W;C;;;;
5 low;C;E53;1;11;10;16;32;1;INT;EXT INT;P B-W;L;P W-W;N;TW1;N;;
5 up low;C;E62;1;17;;14;31;1;L;EXT INT;P B-W;L C N;SI1;N;;;;
4;C;E63;2;12;;22;32;2;L;EXT INT;P B-W;L C;;;;;;
4;C;E1;1;13;;16;31;1;0;EXT;P B-W;L C;;;;;;
4/5;C;E63;1;14;;28;32;13;0;EXT INT;P R-W;C;GRASS;C;;;;
5 up;C;B1;;;;;31;1;0;0;P R-W;FOOT;MCH;INT;;;;
5 up;C;S10;3;8;8;8;31;1;0;L;P R-W;U;P W-G;U;P B-G;L M;DC2;N U
4/5;C;B3;;;;;44;8;EXT ;EXT;P R-W;EXT;;;;;;
5 up;C;S3;3;7;5;8;44;3;0;EXT INT;P R-W;R L N;;;;;;
5 up;C;S1;4;8;10;12;31;1;0;EXT INT;P R-W;U;;;;;;
5 up;C;BT2;;;;;44;3;0;EXT;P R-W;N;;;;;;
3/4;C;E52;2;10;;;31;8;L;L;P W-W;L;CH;L;;;;
4;C;E3;1;15;9;20;31;4;L;EXT;P W-W;C;DC1;N U;;;;
4;C;E55;2;12;;;32;2;0;L;P W-W;L C N;GRASS;C;;;;
3/4;C;E68;1;10;7;10;32;1;0;L EXT;P W-W;C;GRASS;U;;;;
5 low;C;S10;2;13;7;20;32;1;0;0;P W-W;N U;P B-G;N U;;;;
3/4;C;E68;1;10;;12;31;1;L;T/O;P W-W;C;P B-W;N;;;;
4;C;E3;1;12;11;14;31;8;L;L EXT;P W-W;L;;;;;;
4;C;E3;1;14;;16;31;4;L;EXT INT;P W-W;C;;;;;;
4;C;B2;;;;;31;3;0;E;PLAIN;;;;;;;
4;C;E53;1;13;11;18;31;2;L;L EXT;PLAIN;;;;;;;
4;C;E52;2;9;10;;32;4;0;EXT INT;PLAIN;;;;;;;
4;C;E52;1;11;10;24;32;10;0;L EXT;PLAIN;;;;;;;
4;C;B12;;;;4;44;10;;EXT INT;PLAIN;;;;;;;
4;C;B3;;;;6;31;1;0;0;PLAIN;;;;;;;
4;C;B1;;;;;32;10;0;0;PLAIN;;;;;;;
4;C;E11;1;10;;18;31;1;L;L;PLAIN;;;;;;;
5 low;C;S1;1;9;9;10;32;3;EXT INT;EXT INT;PLAIN;;;;;;;
5 low;C;S1;2;8;9;8;32;3;0;EXT INT;PLAIN;;;;;;;
5 low;C;E58;;10;21;12;32;3;EXT INT;EXT INT;PLAIN;;;;;;;
5 low;C;E53;1;12;8;14;32;8;L;EXT INT;PLAIN;;;;;;;
5 low;C;M1;4;9;11;;32;1;0;EXT;PLAIN;;;;;;;
5 up;C;S1;2;9;7;12;32;1;0;EXT INT;PLAIN;N;;;;;;
5 up low;C;B1;;;;14;32;10;0;EXT;PLAIN;;;;;;;
5 up low;C;S2;4;6;5;4;32;8;0;EXT;PLAIN;;;;;;;
5 up;C;S1;2;34;29;42;32;9;0;L INT;SI1;N;;;;;;
4;C;S1;2;8;11;22;32;1;0;EXT INT;SI2;N;TW6;U;;;;
4/5;C;S1;2;20;18;36;31;1;0;EXT;TI1;L;CCRY;U;;;;
5 up;C;E54;2;10;;16;32;9;0;EXT INT;TW;L;P R-W;L;P B-W;C;;
4;C;E53;1;18;12;16;31;13;0;L N;TW1;N;GRASS;C;;;;
4;C;S2;3;7;5;;32;1;0;L;TW1;N U;P R-G;U;;;;
5 up;C;E55;;11;;12;32;1;0;E;TW1;L;;;;;;
5 up;C;E65;2;13;10;14;44;3;0;0;TW12;C;ICS1;N;;;;
4/5;C;B3;;;;;32;3;0;EXT;TW4;EXT;;;;;;
3 up;C;S1;2;16;15;28;32;4;L;L;TW4;N U;;;;;;
5 up low;C;S5;2;13;11;16;32;1;0;0;TW6;L N;EROD;N U;;;;
4/5;C;S3;2;10;7;28;32;9;0;0;TW6;N;ICS1;U;;;;
5 up low;C;S2;2;28;29;32;32;12;0;INT;TW6;N U;P B-W;;;;;
4/5;C;E3;2;12;9;16;31;1;0;EXT;TW6;U;;;;;;
5 low;C;S2;2;21;16;38;32;1;0;L;TW6;L U;;;;;;
5 up;C;E58;2;15;10;16;32;9;0;0;TW6;N;;;;;;
5 up;A;S13;2;6;4;10;32;13;INT;L R C;DC2;C N U;P R-W;C N U;P B-G;C;;
5 up;A;E59;1;10;11;22;32;1;0;0;GRASS;U;P R-W;U;;;;
5 up;A;E55;1;11;8;14;32;1;0;L R C;GRASS;N;P W-W;L;;;;
5 up;A;E53;;10;;;31;1;0;C;GRASS;N;;;;;;
