Site;Context;Horizon;Parts;MaxTh;MinTh;RimAngle;RimType;Diameter;Temper;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4;Type;;
TOG2;20;D;LNS;6;5;6;L2;8;31;0;0;PLAIN;LNS;;;;;;;;;
TOG2;20;D;LN;7;4;6;L2;9;31;0;N;PLAIN;LN;;;;;;;;;
TOG2;20;D;LNS;9;7;6;E90;N/A;31;0;0;PLAIN;LNS;;;;;;;;;
TOG2;20;D;LNS;21;7;2;XY2;N/A;31;L;L;P-R-W;NS;CR4;S;;;;;;;
TOG2;20;D;LNS;22;9;2;XY2;N/A;31;L;L;P-R-W;N;CR4;S;;;;;;;
TOG2;20;D;LNS;16;5;2;XY2;N/A;31;L;L;P-R-W;N;CR4;S;;;;;;;
TOG2;20;D;LNS;11;9;N/A;S1;N/A;31;T/O;T/O;RSO;LN;CR4;S;;;;;;;
TOG2;20;D;LNS;11;8;2;S19;23;31;T/O;T/O;RSO;LN;CH;S;;;;;;;
TOG2;1;A;LNS;20;11;4;N4;28;31;L;L;CH;L;CR4;NS;;;;;;;
TOG2;1;A;LNS;18;10;2;N4;14;31;;;CR4;NS;;;;;;;;;
TOG2;1;A;LNS;20;14;2;N1;18;32;LN;LN;CR4;S;;;;;;;;;
TOG2;1;A;LNS;14;10;2;N5b;18;31;LN;L;CR4;S;;;;;;;;;
TOG2;1;A;LNS;20;12;2;N4;INDETER;31;LN;;CR4;S;;;;;;;;;
TOG2;1;A;LNS;16;11;2;S1;20;32;;;CR4;S;;;;;;;;;
TOG2;1;A;LNS;14;11;2;N4;INDETER;31;;;CR4;S;;;;;;;;;
TOG2;1;A;LNS;12;9;3;S1;34;31;;;EROD;S;;;;;;;;;
TOG2;1;A;LNS;16;11;4;S1;26;31;;;EROD;S;;;;;;;;;
TOG2;1;A;LNS;11;10;6;L2;INDETER;31;;;EROD;S;;;;;;;;;
TOG2;1;A;LNS;14;9;6;L2;42;31;;;EROD;S;;;;;;;;;
TOG2;1;A;LNS;20;18;2;S14;INDETER;31;;;PLAIN;NS;;;;;;;;;
TOG2;10;B;LNS;10;8;1;S1;N/A;31;L+INT;L+INT;CH;N;CR2;S;;;;;;;
TOG2;10;B;LNS;15;9;1;N8;18;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;10;B;LNS;15;12;2;S1;N/A;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;10;B;LNS;14;9;2;S1;18;32;LN;LN;CH;N;CR2;S;;;;;;;
TOG2;10;B;LNS;13;12;2;S1;22;31;;;CH ;Nint;CH ;NS;CR4;NS;;;;;
TOG2;10;B;LNS;12;9;4;S1;INDETER;31;;;CH ;Hint;EROD;NS;;;;;;;
TOG2;10;B;LNS;19;7;2;XY2;21;31;L;L;CR4;S;;;;;;;;;
TOG2;10;B;LNS;31;31;2;S1;N/A;31;0;0;CR4;S;;;;;;;;;
TOG2;10;B;LNS;13;12;3;N7;21;31;INT;INT;CR4;S;;;;;;;;;
TOG2;10;B;LNS;16;7;2;XY2;13;31;L;L;CR4;S;;;;;;;;;
TOG2;10;B;LNS;18;10;1;XY2;18;31;L;L;CR4;S;;;;;;;;;
TOG2;10;B;LNS;16;11;3;N7;28;31;L+INT;L+INT;CR4;S;;;;;;;;;
TOG2;10;B;LNS;14;7;2;S7;13;31;L;L;CR4;S;;;;;;;;;
TOG2;10;B;LNS;11;9;2;S1;12;31;L;L;CR4;S;;;;;;;;;
TOG2;10;B;LNS;12;10;2;N/A;N/A;31;L;0;CR4;S;;;;;;;;;
TOG2;10;B;LNS;16;7;2;XY2;10;31;L;L;CR4;S;;;;;;;;;
TOG2;10;B;LNS;12;8;2;XY1;15;31;0;0;CR4;S;;;;;;;;;
TOG2;10;B;LNS;18;11;2;XY2;18;31;L;L;CR4;S;;;;;;;;;
TOG2;10;B;LNS;15;14;1;S1;36;31;L;0;CR4;S;;;;;;;;;
TOG2;10;B;LNS;22;17;2;XY4;24;32;;;CR4;S;;;;;;;;;
TOG2;10;B;LNS;21;12;2;XY4;INDETER;31;LN;LN;CR4;S;;;;;;;;;
TOG2;10;B;LNS;27;27;6;L2;30;31;0;0;CR4G;NS;;;;;;;;;
TOG2;10;B;LNS;13;11;1;N8;15;31;LN;LN;EROD;S;;;;;;;;;
TOG2;10;B;LNS;14;10;2;S1;14;31;;;EROD;NS;;;;;;;;;
TOG2;10;B;LNS;11;11;2;S1;22;31;;;EROD;NS;;;;;;;;;
TOG2;10;B;LN;11;8;N/A;N/A;N/A;31;T/O;0;MCH;LN;;;;;;;;;
TOG2;10;B;LNS;11;11;6;E90;28;31;0;0;PLAIN;LN;ROUGHENED;S;;;;;;;
TOG2;10;B;LNS;9;7;6;E90;14;31;0;0;PLAIN;LN;ROUGHENED;S;;;;;;;
TOG2;10;B;LN;9;9;;BT3;INDETER;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;10;B;LNS;10;8;N/A;S1;N/A;31;L+INT;L+INT;RSO;LN;CH;N;CR2;S;;;;;
TOG2;10;B;LN;10;8;1;S1;8;31;LN;LN;RSO;LN;MCH;LN;;;;;;;
TOG2;10;B;LN;15;14;N/A;BT3;9;31;T/O;T/O;RSO;LN;;;;;;;;;
TOG2;10;B;LNS;19;8;1;XY3;10;31;L;L;VPR;S;P-R-L;S;;;;;;;
TOG2;10;B;LNS;13;11;3;S1;20;31;;LN;VPR;S;;;;;;;;;
TOG2;10;B;LNS;12;10;1;XY1;24;31;;;VPR;S;;;;;;;;;
TOG2;10;B;LNS;16;14;1;N8;50;31;L+INT;L+INT;;;;;;;;;;;
TOG2;11;B;LNS;10;9;4;S1;12;31;;;CH;N;PLAIN;S;;;;;;;
TOG2;11;B;LNS;13;9;2;S1;22;31;LN;LN;CH;LinT;CR4;S;;;;;;;
TOG2;11;B;LNS;30;31;2;S1;N/A;31;0;0;CR4;NS;;;;;;;;;
TOG2;11;B;LNS;12;8;4;S1;20;31;;;CR4;S;;;;;;;;;
TOG2;11;B;LNS;16;10;4;S1;30;32;;;CR4;S;;;;;;;;;
TOG2;11;B;LNS;19;15;2;XY2;14;31;L;L;CR4;S;;;;;;;;;
TOG2;11;B;LNS;29;21;4;S1;28;31;;;CR4;S;;;;;;;;;
TOG2;11;B;LNS;14;10;2;S1;24;31;LN;LN;CR4;S;;;;;;;;;
TOG2;11;B;LNS;18;9;2;XY3;16;31;;;CR4;S;;;;;;;;;
TOG2;11;B;LNS;12;10;4;S1;20;31;LN;LN;EROD;S;;;;;;;;;
TOG2;11;B;LNS;19;11;2;E1;28;31;LN;LN;EROD;S;;;;;;;;;
TOG2;11;B;B;13;13;;B8;6;31;;;EROD;BASE;;;;;;;;;
