Site;Context;Horizon;Number of sherds;Decor 1;Decor 2;Decor 3;Decor 4;Decor5;Decor6;;;;;;;;;;;;;;;
TOG2;28;;6;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;28;;1;cr2;p-r;si4;p-b;;;;;;;;;;;;;;;;;
TOG2;29;;25;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;29;;1;rso;mch;cr4;;;;;;;;;;;;;;;;;;
TOG2;29;;1;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;29;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;29;;1;burnished;;;;;;;;;;;;;;;;;;;;
TOG2;29;;2;plain;;;;;;;;;;;;;;;;;;;;
TOG2;29;;1;rso;cr2;ch;p-w-l;;;;;;;;;;;;;;;;;
TOG2;29;;2;rso;ch;p-w-l;p-b-l;cr2;si1;;;;;;;;;;;;;;;
TOG2;29;;1;cr2;ch;p-r;;;;;;;;;;;;;;;;;;
TOG2;30;;9;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;30;;1;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;30;;1;cr2;si1;p-w-l;;;;;;;;;;;;;;;;;;
TOG2;30;;1;cr2;p-r-t;SI4;p-b-t;;;;;;;;;;;;;;;;;
TOG2;31;;25;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;31;;5;plain;;;;;;;;;;;;;;;;;;;;
TOG2;31;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;31;;4;rso;;;;;;;;;;;;;;;;;;;;
TOG2;31;;9;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;31;;2;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;31;;1;cr?;;;;;;;;;;;;;;;;;;;;
TOG2;31;;1;rso;ch;cr2;si4;;;;;;;;;;;;;;;;;
TOG2;31;;1;rso;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;31;;1;rso;ch;cr2;si4;p-w-l;;;;;;;;;;;;;;;;
TOG2;31;;1;plain;cr4;;;;;;;;;;;;;;;;;;;
TOG2;31;;1;rso;ch;;;;;;;;;;;;;;;;;;;
TOG2;31;;1;rso;ch;erod;;;;;;;;;;;;;;;;;;
TOG2;31;;1;rso;ch;cr4;;;;;;;;;;;;;;;;;;
TOG2;31;;1;cr4;si4;;;;;;;;;;;;;;;;;;;
TOG2;31;;1;rso;pa3;;;;;;;;;;;;;;;;;;;
TOG2;31;;2;erod;;;;;;;;;;;;;;;;;;;;
TOG2;31;;1;erod;p-r;si4;;;;;;;;;;;;;;;;;;
TOG2;32;;5;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;32;;2;rso;;;;;;;;;;;;;;;;;;;;
TOG2;32;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;34;;40;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;cr4;rso int;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;cr4;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;34;;16;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;34;;5;rso;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;cr2;si4;;;;;;;;;;;;;;;;;;;
TOG2;34;;2;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rough;;;;;;;;;;;;;;;;;;;;
TOG2;34;;2;plain;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rso;pa3;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;vpr;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;cr4;si4;p-r-t;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rso;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rso;ch;cr4;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rso;ch;cr6;p-r-geo;si1;;;;;;;;;;;;;;;;
TOG2;34;;2;vpr;si1;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;cr8?;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;cr4;si4;p-r;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rso;ch;vpr;;;;;;;;;;;;;;;;;;
TOG2;34;;26;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rso;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;false vpr;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;34;;2;plain;;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;plain;vpr;;;;;;;;;;;;;;;;;;;
TOG2;34;;1;vpr;si4;P-r-l;;;;;;;;;;;;;;;;;;
TOG2;34;;1;cr4;ch;P-r-l;;;;;;;;;;;;;;;;;;
TOG2;34;;1;rso;ch;si4;p-r-geo;cr2;;;;;;;;;;;;;;;;
TOG2;34;;1;cr2;cr4;;;;;;;;;;;;;;;;;;;
TOG2;37;;20;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;37;;2;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;37;;2;rso;;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;Plain;;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;erod;ch;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr2;p-r;ch;rso int;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr2;p-r;ch;;;;;;;;;;;;;;;;;;
TOG2;37;;2;rso;ch;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr4;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;37;;4;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;37;;8;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;plain;;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;plain;p-r;;;;;;;;;;;;;;;;;;;
TOG2;37;;8;rso;;;;;;;;;;;;;;;;;;;;
TOG2;37;;28;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;37;;2;cr4;p-r;;;;;;;;;;;;;;;;;;;
TOG2;37;;2;cr4;si4;p-r;;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr6;p-r;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;vpr;si4;p-r;;;;;;;;;;;;;;;;;;
TOG2;37;;2;cr4;p-r-l;;;;;;;;;;;;;;;;;;;
TOG2;37;;1;cr2;ch;p-r-l;si4;;;;;;;;;;;;;;;;;
TOG2;37;;2;rso;ch;cr2;;;;;;;;;;;;;;;;;;
TOG2;37;;1;rso;ch;cr4;;;;;;;;;;;;;;;;;;
TOG2;37;;1;p-r-geo;ch;si4;cr6;vpr;;;;;;;;;;;;;;;;
TOG2;38;;1;cr2;;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;plain;;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;erod;;;;;;;;;;;;;;;;;;;;
TOG2;38;;2;rough;;;;;;;;;;;;;;;;;;;;
TOG2;38;;3;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;38;;2;rso;;;;;;;;;;;;;;;;;;;;
TOG2;38;;20;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;38;;1;cr2;ch;P-r;;;;;;;;;;;;;;;;;;
TOG2;38;;2;cr4;rough;;;;;;;;;;;;;;;;;;;
