site,straight_cord_mat,folded_strip_roulette,braided_strip_roulette,braided_cord_roulette,cord_wrapped_roulette,dragged_comb,slip,twisted_cord_roulette,paint,impressed_comb,carved_roulette,incised,applied_elements,diagonal_fibre_mat,channel,cord_wrapped_impressed,dragged_organic,impressed_grid,knotted_cord_roulette,looped_cord_roulette,perforation,punctate_impression,twisted_cord_impressed,eroded,knotted_strip_roulette,black_burnish,perf,fish_spine_roulette
Sadia,23.026666666666667,5.84333333333333,45.300000000000004,3.59666666666667,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAMB 4,0,13.30998249,0,45.70928196,0,10.85814361,28.37127846,0.350262697,1.050788091,0,0,0.175131349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAN 4,0,1.501501502,0,42.64264264,0,7.807807808,43.24324324,4.204204204,0.3003003,0,0,0.3003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J-J 4,0,13.55068772,0,41.569027,0.186788929,9.08473425,30.29376804,3.43012396,1.154695194,0.152827305,0,0.424520292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOG H,0,9.938650307,0,18.40490798,0,12.39263804,36.44171779,3.190184049,4.171779141,0,0.122699387,11.411042946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOD H,0,1.240694789,0,23.20099256,0,12.40694789,40.44665012,3.846153846,2.729528536,0,0,10.669975187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KWZ G,0,0,0,5.741626794,0,5.502392344,43.77990431,29.66507177,15.31100478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO 3,21.86744074,0,62.50604741,0,0,0,0,15.62651185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OUN T3,0,2.395209581,47.30538922,8.982035928,12.5748503,0,0,15.56886228,0,0,0,13.173652694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dia-Shoma 4,0,28.83435583,0,0,4.498977505,2.351738241,19.73415133,14.82617587,19.73415133,0,0,29.75460123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dia-Mara 4,0,13.5678392,0,2.010050251,0,30.90452261,6.281407035,14.8241206,6.281407035,0,0,32.4120603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tellem,29.141104295,0,14.9837483,0.102249489,0,0,18.57992626,4.2646246625,0,0,0,32.928346993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambere-Dougon,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damassogou II,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kokolo NE 2,0,10,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prom recent,0,0,38,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oudalan fer recent,0,0,10,0,0,0,20,25,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essouk,0.11312217194570137,5.73770491803279,0,0.169683257918552,0,8.29686225057488,2.5,5.71266968325792,4.49521548846525,0.16968325791855204,0,0.636080409465173,0.0565610859728507,0.5656108597285068,7.32234255619019,53.787738298345815,0.056561085972850686,0.39592760180995473,0.9615384615384616,0.22624434389140274,1.0459164750389438,1.2721608189303466,8.978376975001854,0,0,0,0,0
Akumbu 1,0,2.96803653,0,13.08980213,1.293759513,0,4.794520548,16.66666667,0.152207002,0,0,6.697108067,0,0,11.71993912,0,0,0,0,0,0,0,0,0,0,0,0,0
TMD,3.7351443123938877,3.56536502546689,0,4.58404074702886,2.03735144312394,5.94227504244482,49.4057724957555,14.0916808149406,8.65874363327674,0,0,1.01867572156197,0.848896434634975,0,19.5246179966044,0.5093378607809846,15.449915110356535,0,0.1697792869269949,0,0.1697792869269949,0,0.3395585738539898,3.0560271646859083,0.1697792869269949,0.3395585738539898,0,0
TOG2,0,35.871743486974,0,0.601202404809619,0,0,61.7283950617284,0,0,0,0,0.200400801603206,2.20440881763527,0,27.4549098196393,0,0,0,0,0,0.2004008016032064,0,0,0,0,0.6012024048096193,0.2004008016032064,10.62124248496994
Gao-Saney,0,0,0,0,0,0,78.7878787878788,9.09090909090909,51.5151515151515,0,0,0,3.03030303030303,0,12.1212121212121,6.0606060606060606,0,0,0,0,0,0,15.151515151515152,0,0,0,0,0
