site;braided_cord_roulette;braided_strip_roulette;carved_roulette;cord_wrapped_roulette;dragged_comb;folded_strip_roulette;impressed_comb;incised;paint;slip;straight_cord_mat;twisted_cord_roulette;vegetal_roulette;applied_elements;diagonal_fibre_mat;red_slip;impression_comb;channel;cord_wrapped_impressed;dragged_organic;impressed_grid;knotted_cord_roulette;looped_cord_roulette;perforation;punctate_impression;twisted_cord_impressed;eroded;red_slip_burnish;unknown_roulette;unknown_decor
Dia-Mara 3;0,480769231;NA;NA;NA;50,48076923;16,82692308;NA;12,98076923;2,884615385;NA;NA;16,34615385;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Dia-Shoma 3;NA;NA;NA;6,379585327;6,379585327;42,10526316;NA;20,09569378;22,48803828;NA;NA;2,551834131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
HAMB 3;25,61702128;NA;NA;0,085106383;9,361702128;38,29787234;NA;NA;2,29787234;19,23404255;NA;5,106382979;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
J-J 3;21,69772257;NA;NA;0,538302277;7,826086957;44,63768116;0,041407867;0,041407867;3,3126294;15,81780538;NA;6,086956522;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
KWZ H;5,087881591;NA;NA;NA;13,04347826;NA;NA;0,185013876;11,37835338;47,64107308;NA;22,66419981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OUN T4.2;NA;52,94117647;NA;NA;NA;23,52941176;NA;5,882352941;NA;NA;NA;17,64705882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TIE H;6,896551724;NA;NA;1,724137931;NA;12,06896552;NA;NA;27,5862069;NA;NA;51,72413793;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sadia Phase1;1,82;24,86;NA;35,47;NA;4,1;NA;NA;NA;NA;7,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Prom anc.;NA;47;NA;NA;NA;21;NA;NA;NA;NA;NA;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ambere-Dougon 3;10;10;NA;NA;NA;NA;NA;10;NA;NA;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Essouk A 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37,5;50;NA;NA;NA;NA;NA;12,5;NA;NA;NA;NA;NA
Akumbu early;13,08980213;NA;NA;1,293759513;NA;2,96803653;NA;6,697108067;0,152207002;4,794520548;NA;16,66666667;NA;NA;NA;NA;NA;11,71993912;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TMD 3;8,379888268;NA;NA;5,027932961;1,675977654;6,145251397;NA;NA;18,43575419;NA;3,910614525;10,05586592;NA;NA;NA;NA;NA;8,938547486;3,910614525;41,89944134;NA;NA;NA;NA;NA;1,675977654;3,910614525;3,351955307;1,675977654;2,234636872
