"";"site";"straight_cord_mat";"folded_strip_roulette";"braided_strip_roulette";"braided_cord_roulette";"cord_wrapped_roulette";"dragged_comb";"twisted_cord_roulette";"paint";"impressed_comb";"carved_roulette";"incised";"applied_elements";"diagonal_fibre_mat";"channel";"cord_wrapped_impressed";"dragged_organic";"impressed_grid";"knotted_cord_roulette";"looped_cord_roulette";"perforation";"punctate_impression";"twisted_cord_impressed";"eroded";"knotted_strip_roulette";"black_burnish";"perf";"fish_spine_roulette"
"1";"Sadia";23,0266666666667;5,84333333333333;45,3;3,59666666666667;4,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2";"Hamb 4";0;13,30998249;0;45,70928196;0;10,85814361;0,350262697;1,050788091;0;0;0,175131349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"3";"Kaniana 4";0;1,501501502;0;42,64264264;0;7,807807808;4,204204204;0,3003003;0;0;0,3003003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"4";"J-J 4";0;13,55068772;0;41,569027;0,186788929;9,08473425;3,43012396;1,154695194;0,152827305;0;0,424520292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"5";"TOG H";0;9,938650307;0;18,40490798;0;12,39263804;3,190184049;4,171779141;0;0,122699387;11,411042946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";"TOD H";0;1,240694789;0;23,20099256;0;12,40694789;3,846153846;2,729528536;0;0;10,669975187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";"KWZ G";0;0;0;5,741626794;0;5,502392344;29,66507177;15,31100478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"8";"OUN T3";0;2,395209581;47,30538922;8,982035928;12,5748503;0;15,56886228;0;0;0;13,173652694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";"Dia-Shoma 4";0;28,83435583;0;0;4,498977505;2,351738241;14,82617587;19,73415133;0;0;29,75460123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"10";"Dia-Mara 4";0;13,5678392;0;2,010050251;0;30,90452261;14,8241206;6,281407035;0;0;32,4120603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";"Tellem";29,141104295;0;14,9837483;0,102249489;0;0;4,2646246625;0;0;0;32,928346993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"12";"Ambere-Dougon";60;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";"Damassogou II";10;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"14";"Kokolo NE 2";0;10;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"15";"Prom recent";0;0;38;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";"Essouk";0,113122171945701;5,73770491803279;0;0,169683257918552;0;8,29686225057488;5,71266968325792;4,49521548846525;0,169683257918552;0;0,636080409465173;0,0565610859728507;0,565610859728507;7,32234255619019;53,7877382983458;0,0565610859728507;0,395927601809955;0,961538461538462;0,226244343891403;1,04591647503894;1,27216081893035;8,97837697500185;0;0;0;0;0
"17";"Akumbu late";0;2,96803653;0;13,08980213;1,293759513;0;16,66666667;0,152207002;0;0;6,697108067;0;0;11,71993912;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";"TMD 5";3,73514431239389;3,56536502546689;0;4,58404074702886;2,03735144312394;5,94227504244482;14,0916808149406;8,65874363327674;0;0;1,01867572156197;0,848896434634975;0;19,5246179966044;0,509337860780985;15,4499151103565;0;0,169779286926995;0;0,169779286926995;0;0,33955857385399;3,05602716468591;0,169779286926995;0,33955857385399;0;0
"19";"TOG2";0;35,871743486974;0;0,601202404809619;0;0;0;0;0;0;0,200400801603206;2,20440881763527;0;27,4549098196393;0;0;0;0;0;0,200400801603206;0;0;0;0;0,601202404809619;0,200400801603206;10,6212424849699
"20";"Gao-Saney";0;0;0;0;0;0;9,09090909090909;51,5151515151515;0;0;0;3,03030303030303;0;12,1212121212121;6,06060606060606;0;0;0;0;0;0;15,1515151515152;0;0;0;0;0
