Site;SherdType;Temper;Burnish;Slip;RimType;RimAngle;MxRT;MnBT;Diameter;DecorL1;DecorL2;DecorC1;DecorC2;DecorN1;DecorN2;DecorU1;DecorU2;DecorM1;DecorM2;DecorB;
A71-A-13;BODY;32;0;0;0;0;14;9;0;CR6;;;;;;;;;;;
A71-A-11;BODY;32;0;0;0;0;9;9;0;CR6;;;;;;;;;;;
A71-A-12;BODY;32;0;0;0;0;12;9;0;CR6;;;;;;;;;;;
A71-A-14;BODY;32;0;0;0;0;9;8;0;CR6;;;;;;;;;;;
A71-A-9;BODY;32;0;0;0;0;9;9;0;CR6;;;;;;;;;;;
A71-A-10;RIM;32;0;0;S1;2;11;8;18;CR6;;;;CR6;;CR6;;;;;All sherds from A71 appear to be from one pot
A71-F-18;BODY;21;INT;0;0;0;8;6;0;PFR2;;;;;;;;;;;
A71-F-17;BODY;21;INT;0;0;0;7;6;0;PFR1;;;;;;;;;;;
A71-F-16;RIM;32;0;0;S1;2;13;8;20;CR6;;;;CR6;;CR6;;;;;
A71-B-19;BODY;31;0;0;0;0;9;8;0;PFR2;;;;;;;;;;;
A71-Q-65;BODY;0;0;0;0;0;5;5;0;PFR;;;;;;;;;;;
A71-O-20;RIM;31;0;0;E5;2;8;6;14;CH;;MCH;;;;;;;;;
A71-R-30;BODY;31;0;0;0;0;10;8;0;PFR2;;;;;;;;;;;
A71-R-27;BODY;32;0;0;0;0;9;8;0;CR6;;;;;;;;;;;
A71-R-31;BODY;32;0;0;0;0;9;9;0;CR6;;;;;;;;;;;
A71-R-35;BODY;32;0;0;0;0;12;11;0;CR4;;;;;;;;;;;
A71-R-34;BODY;31;0;0;0;0;6;6;0;CR6;;;;;;;;;;;
A71-R-29;BODY;32;0;0;0;0;10;9;0;CR6;;;;;;;;;;;
A71-R-32;RIM;31;0;0;E11;2;7;7;0;;;PBL;;CR6;;;;;;;
A71-R-33;BODY;32;0;0;0;0;10;10;0;CR6;;;;;;;;;;;
A71-R-28;BODY;32;0;0;0;0;12;11;0;PFR1;;;;;;;;;;;
A71-R-36;BODY;31;0;0;0;0;7;7;0;PFR;;;;;;;;;;;
A71-R-37;RIM;32;INT;0;M1;0;10;10;0;FIL2;;;;;;;;;;;BEDAUX DECOR 1A
A71-H-25;RIM;32;0;L;E1;2;9;8;0;;;;;PFR2;;;;;;;
A71-H-24;BODY;32;0;0;0;0;13;12;0;CR6;;;;;;;;;;;
A71-H-21;BODY;32;0;0;0;0;9;8;0;CR6;;;;;;;;;;;
A71-H-23;BODY;31;0;0;0;0;6;6;0;BSR;;;;;;;;;;;
A71-H-22;BODY;31;INT;0;0;0;8;8;0;PFR2;;;;;;;;;;;
A80-Y-1;BODY;32;0;0;0;0;7;6;0;DOGON;;;;;;;;;;;
A80-Y-2;BODY;32;0;0;0;0;6;4;0;PFR2;;;;;;;;;;;
A80-Y-3;BODY;31;0;0;0;0;6;4;0;PFR2;;;;;;;;;;;
A80-Y-4;RIM;31;0;0;S1;4;6;5;0;;;;;;;EROD;;;;;
A80-Y-5;BODY;31;0;0;0;0;7;5;0;PFR3;;;;;;;;;;;
A80-Y-6;RIM;31;0;0;0;0;0;0;0;CH;;CR6;;;;;;;;;
A80-Y-7;BODY;31;0;0;0;0;6;5;0;PFR;;;;;;;;;;;
A80-R-8;BODY;32;0;0;0;0;9;8;0;CR6;;;;;;;;;;;
C71-154;BODY;31;0;0;0;0;8;6;0;PFR1;;;;;;;;;;;
C71-153;BODY;32;0;0;0;0;11;10;0;CR6;;;;;;;;;;;
IRELI-II-74-1;BODY;31;0;0;0;0;7;7;0;DOGON;;;;;;;;;;;
IRELI-II-74-2;BODY;32;0;0;0;0;12;8;0;PFR;;;;;;;;;;;
IRELI-II-74-3;BODY;32;0;0;0;0;15;15;0;CR4;;;;;;;;;;;
IRELI-II-74-4;BODY;31;0;0;0;0;7;7;0;EROD;;;;;;;;;;;
IRELI-I-74-1;BODY;31;0;0;0;0;7;6;0;0;;;;;;;;;;;
B71-6;BODY;31;0;0;0;0;7;7;0;CR4;;;;;;;;;;;
B71-4;BODY;31;EXT;0;0;0;6;6;0;0;;;;;;;;;;;
B71-5;BODY;31;0;0;0;0;7;6;0;PFR1;;;;;;;;;;;
A71-C-26;RIM;31;INT;0;S1;2;8;7;0;;;;;PFR1;;;;;;;
A71-E-15;BODY;21;INT/EXT;0;0;0;3;3;0;0;;;;;;;;;;;
